Date,Quarterly average of official Bank Rate              [a] [b]             IUQABEDR
30-Sep-25,4.1038
30-Jun-25,4.3484
31-Mar-25,4.5992
31-Dec-24,4.8555
30-Sep-24,5.0885
30-Jun-24,5.25
31-Mar-24,5.25
31-Dec-23,5.25
30-Sep-23,5.1602
30-Jun-23,4.4583
31-Mar-23,3.8555
31-Dec-22,2.8056
30-Sep-22,1.6172
30-Jun-22,0.9583
31-Mar-22,0.4563
31-Dec-21,0.1234
30-Sep-21,0.1
30-Jun-21,0.1
31-Mar-21,0.1
31-Dec-20,0.1
30-Sep-20,0.1
30-Jun-20,0.1
31-Mar-20,0.6117
31-Dec-19,0.75
30-Sep-19,0.75
30-Jun-19,0.75
31-Mar-19,0.75
31-Dec-18,0.75
30-Sep-18,0.6602
30-Jun-18,0.5
31-Mar-18,0.5
31-Dec-17,0.4087
30-Sep-17,0.25
30-Jun-17,0.25
31-Mar-17,0.25
31-Dec-16,0.25
30-Sep-16,0.3423
30-Jun-16,0.5
31-Mar-16,0.5
31-Dec-15,0.5
30-Sep-15,0.5
30-Jun-15,0.5
31-Mar-15,0.5
31-Dec-14,0.5
30-Sep-14,0.5
30-Jun-14,0.5
31-Mar-14,0.5
31-Dec-13,0.5
30-Sep-13,0.5
30-Jun-13,0.5
31-Mar-13,0.5
31-Dec-12,0.5
30-Sep-12,0.5
30-Jun-12,0.5
31-Mar-12,0.5
31-Dec-11,0.5
30-Sep-11,0.5
30-Jun-11,0.5
31-Mar-11,0.5
31-Dec-10,0.5
30-Sep-10,0.5
30-Jun-10,0.5
31-Mar-10,0.5
